Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Fall Headcount
2002,5415,2821,G,Grad,ST JOHN FISHER COLLEGE-GRADUATE,PRIVATE,5-INDEPENDENT,1
2002,5410,2899,G,Grad,WAGNER COLLEGE GRAD,PRIVATE,5-INDEPENDENT,3
2002,5405,2845,G,Grad,SUC GENESEO GRAD,PUBLIC,3-SUNY SO,8
2002,5400,2841,G,Grad,SUC BROCKPORT GRAD,PUBLIC,3-SUNY SO,39
2002,5396,2690,G,Grad,CUNY QUEENS COLLEGE LAW SCHOOL,PUBLIC,1-CUNY SR,69
2002,5395,2690,G,Grad,CUNY QUEENS COLLEGE GRAD,PUBLIC,1-CUNY SR,48
2002,5390,2835,G,Grad,SUNY AT ALBANY GRAD,PUBLIC,3-SUNY SO,268
2002,5385,2823,G,Grad,ST JOHNS UNIVERSITY LAW SCHOOL,PRIVATE,5-INDEPENDENT,66
2002,5355,2704,G,Grad,COLL OF NEW ROCHELLE GRAD,PRIVATE,5-INDEPENDENT,8
2002,5345,10142,G,Grad,TOURO COLLEGE-MASTERS PROGRAMS,PRIVATE,5-INDEPENDENT,25
2002,5340,2829,G,Grad,ST LAWRENCE UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,2
2002,5325,2810,G,Grad,THE SAGE COLLEGE GRAD,PRIVATE,5-INDEPENDENT,7
2002,5320,2806,G,Grad,ROCHESTER INST TECH GRAD,PRIVATE,5-INDEPENDENT,56
2002,5315,2798,G,Grad,PRATT INSTITUTE GRAD,PRIVATE,5-INDEPENDENT,11
2002,5310,2791,G,Grad,PACE UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,23
2002,5305,2788,G,Grad,NIAGARA UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,13
2002,5300,2749,G,Grad,N Y COL OF PODIATRIC MEDICINE,PRIVATE,5-INDEPENDENT,62
2002,5295,2759,G,Grad,MANHATTAN SCHL MUSIC GRAD,PRIVATE,5-INDEPENDENT,13
2002,5290,2751,G,Grad,LONG ISLAND UNIVERSITY,PRIVATE,5-INDEPENDENT,123
2002,5285,2742,G,Grad,JUILLIARD SCHOOL GRAD,PRIVATE,5-INDEPENDENT,5
2002,5275,2739,G,Grad,ITHACA COLLEGE-GRAD,PRIVATE,5-INDEPENDENT,7
2002,5271,7022,G,Grad,CUNY HERBERT H LEHMAN GRAD,PUBLIC,1-CUNY SR,12
2002,5270,2689,G,Grad,CUNY HUNTER COLLEGE GRAD,PUBLIC,1-CUNY SR,90
2002,5268,2732,G,Grad,HOFSTRA UNIV GRAD LAW SCHOOL,PRIVATE,5-INDEPENDENT,26
2002,5265,2732,G,Grad,HOFSTRA UNIV GRAD,PRIVATE,5-INDEPENDENT,121
2002,5240,2707,G,Grad,COLUMBIA UNIV INTL AFFAIRS GRAD,PRIVATE,5-INDEPENDENT,15
2002,5235,2705,G,Grad,COLLEGE OF SAINT ROSE GRAD,PRIVATE,5-INDEPENDENT,35
2002,5220,2699,G,Grad,CLARKSON UNIVERSITY- GRAD,PRIVATE,5-INDEPENDENT,15
2002,5216,2693,G,Grad,CUNY JOHN JAY COLLEGE GRAD,PUBLIC,1-CUNY SR,26
2002,5215,2688,G,Grad,CUNY CITY COLLEGE GRAD,PUBLIC,1-CUNY SR,35
2002,5210,2681,G,Grad,CANISIUS COLLEGE GRAD,PRIVATE,5-INDEPENDENT,30
2002,5205,2687,G,Grad,CUNY BROOKLYN COLLEGE GRAD,PUBLIC,1-CUNY SR,28
2002,5200,2668,G,Grad,ALFRED UNIVERSITY GRAD,PRIVATE,5-INDEPENDENT,24
2002,5180,9895,G,Grad,YESHIVA UNIV-WURZWEILER (BLOCK),PRIVATE,5-INDEPENDENT,1
2002,5155,9895,G,Grad,YESHIVA UNIV EINSTEIN COL MED,PRIVATE,5-INDEPENDENT,68
