DBN,Community School District,School Name,School Pupil-Teacher Ratio
03M862,CSD 03,MOTT HALL II,18.8
04M007,CSD 04,PS 007 SAMUEL STERN,9.6
04M012,CSD 04,TAG YOUNG SCHOLARS,25.6
04M037,CSD 04,RIVER EAST ELEMENTARY,12.2
04M038,CSD 04,PS 38 ROBERTO CLEMENTE,10.4
04M057,CSD 04,JAMES WELDON JOHNSON,11.9
04M072,CSD 04,THE LEXINGTON ACADEMY,11.6
04M083,CSD 04,PS 083 LUIS MUNOZ RIVERA,13.5
04M096,CSD 04,PS 096 JOSEPH LANZETTA,9.7
04M102,CSD 04,PS 102 JACQUES CARTIER,9
04M108,CSD 04,PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,10.4
04M112,CSD 04,PS 112 JOSE CELSO BARBOSA,4.9
04M146,CSD 04,PS 146 ANN M SHORT,11.5
04M155,CSD 04,PS 155 WILLIAM PACA,9.6
04M171,CSD 04,PS 171 PATRICK HENRY,15.3
04M182,CSD 04,THE BILINGUAL BICULTURAL SCHOOL,9.9
04M206,CSD 04,PS 206 JOSE CELSO BARBOSA,5.6
04M224,CSD 04,MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,12.8
04M310,CSD 04,THE JUDITH S KAYE HIGH SCHOOL,12.8
04M372,CSD 04,ESPERANZA PREPARATORY ACADEMY,11.4
04M375,CSD 04,MOSAIC PREPARATORY ACADEMY,11.5
04M377,CSD 04,RENAISSANCE SCHOOL OF THE ARTS,9.8
04M435,CSD 04,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,19.1
04M495,CSD 04,PARK EAST HIGH SCHOOL,12.1
04M497,CSD 04,CENTRAL PARK EAST I,10.7
04M555,CSD 04,CENTRAL PARK EAST HIGH SCHOOL,16.1
04M610,CSD 04,YOUNG WOMEN'S LEADERSHIP SCHOOL,15.9
04M680,CSD 04,"HERITAGE SCHOOL, THE",13.9
04M825,CSD 04,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,13.6
04M964,CSD 04,CENTRAL PARK EAST II,11.5
05M030,CSD 05,PS 030 HERNANDEZ/HUGHES,7.2
05M036,CSD 05,PS 036 MARGARET DOUGLAS,9.7
05M046,CSD 05,PS 046 ARTHUR TAPPAN,12.9
05M092,CSD 05,PS 092 MARY MCLEOD BETHUNE,10.5
05M123,CSD 05,PS 123 MAHALIA JACKSON,9.9
05M125,CSD 05,PS 125 RALPH BUNCHE,16.2
05M129,CSD 05,PS 129 JOHN H FINLEY,11.6
05M133,CSD 05,PS 133 FRED R MOORE,6.7
05M148,CSD 05,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,10.7
05M154,CSD 05,PS 154 HARRIET TUBMAN,9.8
05M157,CSD 05,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,10.8
05M161,CSD 05,PS 161 PEDRO ALBIZU CAMPOS,11.1
05M175,CSD 05,PS 175 HENRY H GARNET,13.7
05M194,CSD 05,PS 194 COUNTEE CULLEN,7.7
05M197,CSD 05,PS 197 JOHN B RUSSWURM,10.6
05M200,CSD 05,PS 200- THE JAMES MCCUNE SMITH SCHOOL,10.3
05M285,CSD 05,HARLEM RENAISSANCE HIGH SCHOOL,12.9
05M286,CSD 05,IS M286 RENAISSANCE LEADERSHIP ACADEMY,7.3
05M304,CSD 05,MOTT HALL HIGH SCHOOL,14.8
05M318,CSD 05,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,13.6
05M362,CSD 05,COLUMBIA SECONDARY SCHOOL,15.9
05M369,CSD 05,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,14.6
05M499,CSD 05,FREDERICK DOUGLASS ACADEMY,15.6
05M514,CSD 05,NEW DESIGN MIDDLE SCHOOL,8.6
05M517,CSD 05,TEACHERS COLLEGE COMMUNITY SCHOOL,12.7
05M670,CSD 05,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,13.5
05M692,CSD 05,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",16.3
06M004,CSD 06,PS 004 DUKE ELLINGTON,13
06M005,CSD 06,PS 005 ELLEN LURIE,11.9
06M008,CSD 06,PS 008 LUIS BELLIARD,12.8
06M018,CSD 06,PS 018 PARK TERRACE,13.3
06M028,CSD 06,PS 028 WRIGHT BROTHERS,11
06M048,CSD 06,PS 048 PO MICHAEL J BUCZEK,9.9
06M052,CSD 06,JHS 052 INWOOD,11.3
06M098,CSD 06,PS 098 SHORAC KAPPOCK,12.2
06M103,CSD 06,DOS PUENTES ELEMENTARY SCHOOL,12.8
06M115,CSD 06,PS 115 ALEXANDER HUMBOLDT,12
06M128,CSD 06,PS 128 AUDUBON,12.4
06M132,CSD 06,PS 132 JUAN PABLO DUARTE,8.4
06M143,CSD 06,JHS 143 ELEANOR ROOSEVELT,9.8
06M152,CSD 06,PS 152 DYCKMAN VALLEY,13.9
06M153,CSD 06,PS 153 ADAM CLAYTON POWELL,15.5
06M173,CSD 06,PS 173,13.7
06M178,CSD 06,PROFESSOR JUAN BOSCH PUBLIC SCHOOL,10
06M187,CSD 06,PS/IS 187 HUDSON CLIFFS,14.9
06M189,CSD 06,PS 189,13.2
06M192,CSD 06,PS 192 JACOB H SCHIFF,13.1
06M209,CSD 06,HAMILTON GRANGE MIDDLE SCHOOL,11.6
06M210,CSD 06,PS/IS 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,11.4
06M211,CSD 06,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,12.4
06M223,CSD 06,THE MOTT HALL SCHOOL,13.8
06M278,CSD 06,PAULA HEDBAVNY SCHOOL,15.5
06M293,CSD 06,CITY COLLEGE ACADEMY OF THE ARTS,15.7
06M311,CSD 06,AMISTAD DUAL LANGUAGE SCHOOL,14.8
06M314,CSD 06,MUSCOTA,16.5
06M319,CSD 06,MS 319 - MARIA TERESA,12.5
06M322,CSD 06,MIDDLE SCHOOL 322,9.6
06M324,CSD 06,MS 324 - PATRIA MIRABAL,10.2
06M328,CSD 06,MS 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,8.4
06M346,CSD 06,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,13.6
06M348,CSD 06,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,13.5
06M349,CSD 06,HARBOR HEIGHTS,11.8
06M366,CSD 06,WASHINGTON HEIGHTS ACADEMY,17.6
06M368,CSD 06,HAMILTON HEIGHTS SCHOOL,9.9
06M423,CSD 06,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,8.6
06M462,CSD 06,THE COLLEGE ACADEMY,14.5
06M463,CSD 06,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,15.1
06M467,CSD 06,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,14.9
06M468,CSD 06,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,10.4
06M513,CSD 06,CASTLE BRIDGE SCHOOL,9.1
06M528,CSD 06,IS 528 BEA FULLER RODGERS SCHOOL,13
06M540,CSD 06,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,17.7
06M552,CSD 06,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,16.5
07X001,CSD 07,PS 001 COURTLANDT SCHOOL,10.9
07X005,CSD 07,PS 5 PORT MORRIS,11.7
07X018,CSD 07,PS 018 JOHN PETER ZENGER,11.7
07X025,CSD 07,PS 025 BILINGUAL SCHOOL,9.8
07X029,CSD 07,PS/MS 029 MELROSE SCHOOL,12
07X030,CSD 07,PS 030 WILTON,12.1
07X031,CSD 07,PS/MS 031 THE WILLIAM LLOYD GARRISON,12.3
07X043,CSD 07,PS 043 JONAS BRONCK,11
07X049,CSD 07,PS 049 WILLIS AVENUE,10.4
07X065,CSD 07,PS 065 MOTHER HALE ACADEMY,11.1
07X151,CSD 07,JHS 151 LOU GEHRIG,10.4
07X154,CSD 07,PS 154 JONATHAN D HYATT,8.9
07X157,CSD 07,PS 157 GROVE HILL,12.8
07X161,CSD 07,PS 161 PONCE DE LEON,11.3
07X179,CSD 07,PS 179,11.8
07X221,CSD 07,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,13.2
07X223,CSD 07,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,12.1
07X224,CSD 07,PS / IS 224,10.9
07X259,CSD 07,"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",12.6
07X277,CSD 07,PS 277,11.6
07X296,CSD 07,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,10.1
07X298,CSD 07,ACADEMY OF PUBLIC RELATIONS,10
07X334,CSD 07,INTERNATIONAL COMMUNITY HIGH SCHOOL,14.7
07X343,CSD 07,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,15.3
07X359,CSD 07,CONCOURSE VILLAGE ELEMENTARY SCHOOL,11.6
07X369,CSD 07,YOUNG LEADERS ELEMENTARY SCHOOL,9.4
07X379,CSD 07,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.1
07X381,CSD 07,BRONX HAVEN HIGH SCHOOL,11.1
07X427,CSD 07,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,12.9
07X473,CSD 07,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,10.6
07X495,CSD 07,UNIVERSITY HEIGHTS SECONDARY SCHOOL,21.2
07X500,CSD 07,HOSTOS-LINCOLN ACADEMY OF SCIENCE,16.3
