DBN,School Name,School Pupil-Teacher Ratio
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,17.7
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,16.5
07X001,PS 001 COURTLANDT SCHOOL,10.9
07X005,PS 5 PORT MORRIS,11.7
07X018,PS 018 JOHN PETER ZENGER,11.7
07X025,PS 025 BILINGUAL SCHOOL,9.8
07X029,PS/MS 029 MELROSE SCHOOL,12
07X030,PS 030 WILTON,12.1
07X031,PS/MS 031 THE WILLIAM LLOYD GARRISON,12.3
07X043,PS 043 JONAS BRONCK,11
07X049,PS 049 WILLIS AVENUE,10.4
07X065,PS 065 MOTHER HALE ACADEMY,11.1
07X151,JHS 151 LOU GEHRIG,10.4
07X154,PS 154 JONATHAN D HYATT,8.9
07X157,PS 157 GROVE HILL,12.8
07X161,PS 161 PONCE DE LEON,11.3
07X179,PS 179,11.8
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,13.2
07X223,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,12.1
07X224,PS / IS 224,10.9
07X259,"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)",12.6
07X277,PS 277,11.6
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,10.1
07X298,ACADEMY OF PUBLIC RELATIONS,10
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,14.7
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,15.3
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,11.6
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,9.4
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.1
07X381,BRONX HAVEN HIGH SCHOOL,11.1
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,12.9
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,10.6
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,21.2
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,16.3
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,10.3
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,11.6
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,14.6
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,8.9
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,11.2
07X584,IS 584,9.7
07X600,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,12.3
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,14.9
08X014,PS X014 SENATOR JOHN CALANDRA,15.9
08X036,PS 036 UNIONPORT,14.9
08X048,PS 048 JOSEPH R DRAKE,13.4
08X062,PS 062 INOCENSIO CASANOVA,13.1
08X069,PS 069 JOURNEY PREP SCHOOL,15.4
08X071,PS 071 ROSE E SCALA,13.8
08X072,PS 072 DR WILLIAM DORNEY,13.5
08X075,PS 75 SCHOOL OF RESEARCH AND DISCOVERY,13.9
08X093,PS 093 ALBERT G OLIVER,10.7
08X100,PS 100 ISAAC CLASON,11.7
08X101,MS X101 EDWARD R BYRNE,13.6
08X107,PS 107,14.5
08X119,PS 119,14.9
08X123,JHS 123 JAMES M KIERAN,11.6
08X130,PS 130 ABRAM STEVENS HEWITT,10.5
08X131,JHS 131 ALBERT EINSTEIN,13.9
08X138,PS 138 SAMUEL RANDALL,13.6
08X140,PS X140 THE EAGLE SCHOOL,13.8
08X146,PS 146 EDWARD COLLINS,12.6
08X152,PS 152 EVERGREEN,13.1
08X182,PS 182,14.8
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,12.2
08X282,WOMEN'S ACADEMY OF EXCELLENCE,12.1
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,13.9
08X301,MS 301 PAUL L DUNBAR,10.4
08X302,MS 302 LUISA DESSUS CRUZ,12.6
08X304,PS 304 EARLY CHILDHOOD SCHOOL,16.9
08X312,MILLENNIUM ART ACADEMY,13
08X320,PELHAM LAB HIGH SCHOOL,11.2
08X333,PS 333 - THE MUSEUM SCHOOL,11.6
08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,13
08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,12.6
08X349,BRONX RIVER HIGH SCHOOL,11.9
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",13.8
08X371,URBAN INSTITUTE OF MATHEMATICS,15.3
08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,8.8
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,13
08X377,BRONX COMMUNITY HIGH SCHOOL,11
08X392,BRONX DELTA SCHOOL,11
08X405,HERBERT H LEHMAN HIGH SCHOOL,12.8
08X424,THE HUNTS POINT SCHOOL,11.4
08X432,BRONX BRIDGES HIGH SCHOOL,10.6
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,12.6
08X452,BRONX GUILD,10.6
08X467,MOTT HALL COMMUNITY SCHOOL,13.6
08X530,BANANA KELLY HIGH SCHOOL,9.8
08X537,BRONX ARENA HIGH SCHOOL,9.7
08X558,WESTCHESTER SQUARE ACADEMY,12.4
08X559,SCHOOL FOR TOURISM AND HOSPITALITY,10.8
08X561,BRONX COMPASS HIGH SCHOOL,11.3
08X562,BLUEPRINT MIDDLE SCHOOL,13.1
08X583,PS 583,15.5
09X004,PS/MS 004 CROTONA PARK WEST,12
09X011,PS 011 HIGHBRIDGE,12.3
09X022,JHS 022 JORDAN L MOTT,8.4
09X028,PS 028 MOUNT HOPE,10.9
09X035,PS 035 FRANZ SIEGEL,11.2
09X042,PS 042 CLAREMONT,10.1
09X053,PS 053 BASHEER QUISIM,12.4
09X055,PS 055 BENJAMIN FRANKLIN,11.7
09X058,PS 058,12
09X063,PS 063 AUTHOR'S ACADEMY,11.7
09X070,PS 070 MAX SCHOENFELD,13.1
09X073,PS 073 BRONX,12.3
09X088,PS X088 - S SILVERSTEIN LITTLE SPARROW SCHOOL,13.3
09X109,PS 109 SEDGWICK,12.2
09X110,PS 110 THEODORE SCHOENFELD,13.8
09X114,PS X114 - LUIS LLORENS TORRES SCHOOLS,13.5
09X117,IS 117 JOSEPH H WADE,10.2
09X126,PS 126 DR MARJORIE H DUNBAR,12.2
09X128,MOTT HALL III,18
09X132,PS 132 GARRET A MORGAN,11.8
09X163,PS 163 ARTHUR A SCHOMBURG,11.2
09X170,PS 170,11.2
09X199,PS 199X - THE SHAKESPEARE SCHOOL,14.2
09X204,PS 204 MORRIS HEIGHTS,15.5
09X215,KAPPA,11.9
09X218,PS/IS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,15.1
09X219,IS 219 NEW VENTURE SCHOOL,10.1
09X227,BRONX COLLEGIATE ACADEMY,13.3
09X229,IS 229 ROLAND PATTERSON,8.5
09X231,EAGLE ACADEMY FOR YOUNG MEN,14.7
09X232,IS 232,13.5
09X236,PS 236 LANGSTON HUGHES,11.5
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",10.4
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,13.8
09X252,MOTT HALL BRONX HIGH SCHOOL,12.8
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,14.5
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,15.3
09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,9.3
09X294,THE WALTON AVENUE SCHOOL,12.9
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,10.8
09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,9
09X311,LUCERO ELEMENTARY SCHOOL,12.9
09X313,IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT,7.9
09X323,BRONX WRITING ACADEMY,9.9
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,13.5
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,13.9
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,12.9
09X329,DREAMYARD PREPARATORY SCHOOL,10.8
09X339,IS 339,7.6
09X350,NEW DIRECTIONS SECONDARY SCHOOL,8.9
09X361,THE HIGHBRIDGE GREEN SCHOOL,10.6
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,12.8
09X403,BRONX INTERNATIONAL HIGH SCHOOL,12.6
09X404,SCHOOL FOR EXCELLENCE,11.8
09X412,BRONX HIGH SCHOOL OF BUSINESS,9.6
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,12.4
09X443,THE FAMILY SCHOOL,12.6
09X449,GRANT AVENUE ELEMENTARY SCHOOL,12.4
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,11.9
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,16.5
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",12.4
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,12.3
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,13
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,14.7
09X555,MOUNT EDEN CHILDREN'S ACADEMY,16.5
09X564,CLAREMONT INTERNATIONAL HS,12.6
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,13.9
09X593,SOUTH BRONX INTERNATIONAL MS,8
09X594,MS 594,8.9
10X003,PS 3 RAUL JULIA MICRO SOCIETY,13.5
10X007,MILTON FEIN SCHOOL,16.2
10X008,PS 008 ISSAC VARIAN,13.2
