District,Borough,Building ID,School,Project #,Description,FY,Total
30,Queens,Q070,P.S. 70,DSF0000912094,State of Good Repair - System Replacements - Electrical Systems,2020,193400
30,Queens,Q126,I.S. 126,DSF0000912101,State of Good Repair - System Replacements - Electrical Systems,2020,200000
30,Queens,Q127,P.S. 127,DSF0000912102,State of Good Repair - System Replacements - Electrical Systems,2020,360000
30,Queens,Q145,I.S. 145,DSF0000912103,State of Good Repair - System Replacements - Electrical Systems,2020,540000
30,Queens,Q148,P.S. 148,DSF0000912104,State of Good Repair - System Replacements - Electrical Systems,2020,260000
30,Queens,Q150,P.S. 150,DSF0000902816,State of Good Repair - System Replacements - Roofs,2020,2389992
30,Queens,Q150,P.S. 150,DSF0000902814,State of Good Repair - Building Upgrade - Flood Elimination,2020,1035092
30,Queens,Q150,P.S. 150,DSF0000902818,State of Good Repair - System Replacements - Exterior Masonry,2020,5977596
30,Queens,Q150,P.S. 150,DSF0000902817,State of Good Repair - System Replacements - Parapets,2020,3808346
30,Queens,Q152,P.S. 152,DSF0000912105,State of Good Repair - System Replacements - Electrical Systems,2020,440000
30,Queens,Q234,P.S. 234,DSF0000910496,State of Good Repair - System Replacements - Parapets,2022,2436003
30,Queens,Q234,P.S. 234,DSF0000910495,State of Good Repair - System Replacements - Roofs,2022,2323600
30,Queens,Q234,P.S. 234,DSF0000910497,State of Good Repair - System Replacements - Exterior Masonry,2022,3718541
31,Staten Island,R008,P.S. 8,DSF0000912236,State of Good Repair - System Replacements - Electrical Systems,2020,21980
31,Staten Island,R014,P.S. 14,DSF0000905096,State of Good Repair - System Replacements - Exterior Masonry,2021,3227708
31,Staten Island,R014,P.S. 14,DSF0000905095,State of Good Repair - System Replacements - Parapets,2021,1982307
31,Staten Island,R014,P.S. 14,DSF0000905094,State of Good Repair - System Replacements - Roofs,2021,3324076
31,Staten Island,R016,P.S. 16,DSF0000905112,State of Good Repair - System Replacements - Exterior Masonry,2021,5043294
31,Staten Island,R022,P.S. 22,DSF0000905202,State of Good Repair - System Replacements - Roofs,2020,4493185
31,Staten Island,R022,P.S. 22,DSF0000905203,State of Good Repair - System Replacements - Parapets,2020,2380216
31,Staten Island,R022,P.S. 22,DSF0000905200,State of Good Repair - Building Upgrade - Flood Elimination,2020,1021425
31,Staten Island,R022,P.S. 22,DSF0000905204,State of Good Repair - System Replacements - Exterior Masonry,2020,4451401
31,Staten Island,R023,P.S. 23,DSF0000798555,State of Good Repair - System Replacements - Domestic Piping,2020,878302
31,Staten Island,R051,I.S. 51,DSF0000912213,State of Good Repair - System Replacements - Electrical Systems,2020,586381
31,Staten Island,R060,P.S. 60,DSF0000798550,State of Good Repair - System Replacements - Domestic Piping,2020,942232
31,Staten Island,R061,I.S. 61,DSF0000912114,State of Good Repair - System Replacements - Electrical Systems,2020,260000
31,Staten Island,R831,P.S. 74,DSF0000906107,State of Good Repair - System Replacements - Windows,2020,3234570
32,Brooklyn,K145,P.S. 145,DSF0000912050,State of Good Repair - System Replacements - Electrical Systems,2020,150000
32,Brooklyn,K299,P.S. 299,DSF0000895586,State of Good Repair - Building Upgrade - Flood Elimination,2020,1250311
32,Brooklyn,K299,P.S. 299,DSF0000895587,State of Good Repair - System Replacements - Roofs,2020,3489389
32,Brooklyn,K299,P.S. 299,DSF0000895589,State of Good Repair - System Replacements - Exterior Masonry,2020,2871872
32,Brooklyn,K299,P.S. 299,DSF0000895588,State of Good Repair - System Replacements - Parapets,2020,1724574
32,Brooklyn,K383,I.S. 383,DSF0000912074,State of Good Repair - System Replacements - Electrical Systems,2020,380000
32,Brooklyn,K383,I.S. 383,DSF0000912219,State of Good Repair - System Replacements - Electrical Systems,2020,692658
33K,Brooklyn,K818,DISTRICT #18 CEC,DSF0000911250,Ancillary Facilities - Administrative Support - Administrative Support,2020,746592
75K,Brooklyn,K853,P.S. 93 AX (ECF BD STUY ECC2),DSF0000897264,State of Good Repair - System Replacements - Exterior Masonry,2022,314288
75K,Brooklyn,K877,P.S. 369 AX-(OL 396X/FLTB TN HL),DSF0000897422,State of Good Repair - System Replacements - Windows,2021,1704069
75K,Brooklyn,K877,P.S. 369 AX-(OL 396X/FLTB TN HL),DSF0000897423,State of Good Repair - System Replacements - Exterior Masonry,2021,1427100
75K,Brooklyn,K877,P.S. 369 AX-(OL 396X/FLTB TN HL),DSF0000897420,State of Good Repair - Building Upgrade - Flood Elimination,2021,296950
75R,Staten Island,R843,P.S. 37 MINISCHOOL (OLD P32),DSF0000888914,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground Redevelopment,2021,3000000
78K,Brooklyn,K410,ABRAHAM LINCOLN HS,DSF0000912076,State of Good Repair - System Replacements - Electrical Systems,2020,680000
78K,Brooklyn,K465,ERASMUS HALL CAMPUS,DSF0000912077,State of Good Repair - System Replacements - Electrical Systems,2020,300000
78K,Brooklyn,K495,FRANK J. MACCHIAROLA EDUCATIONAL COMPLEX,DSF0000912078,State of Good Repair - System Replacements - Electrical Systems,2020,410000
78K,Brooklyn,K500,CANARSIE HS,DSF0000912166,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,742500
78K,Brooklyn,K500,CANARSIE HS,DSF0000912079,State of Good Repair - System Replacements - Electrical Systems,2020,330000
78K,Brooklyn,K865,SECOND OPPORTUNITY SCHOOL,DSF0000798529,State of Good Repair - System Replacements - Domestic Piping,2020,878302
78M,Manhattan,M136,I.S. 136,DSF0000912085,State of Good Repair - System Replacements - Electrical Systems,2020,160000
78M,Manhattan,M465,G. WASHINGTON HS EDUC. CAMPUS,DSF0000912214,State of Good Repair - System Replacements - Electrical Systems,2020,794657
78M,Manhattan,M477,STUYVESANT HS (NEW),DSF0000911934,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,742500
78M,Manhattan,M535,PARK WEST HS (ECF),DSF0000912088,State of Good Repair - System Replacements - Electrical Systems,2020,30000
78M,Manhattan,M641,CITY AS SCHOOL (OLD 95),DSF0000900222,State of Good Repair - Building Upgrade - Flood Elimination,2020,1421872
78M,Manhattan,M641,CITY AS SCHOOL (OLD 95),DSF0000900225,State of Good Repair - System Replacements - Exterior Masonry,2020,7628571
78M,Manhattan,M641,CITY AS SCHOOL (OLD 95),DSF0000900224,State of Good Repair - System Replacements - Windows,2020,6325417
78M,Manhattan,M645,OLD MANHATTAN VOC/TECH HS,DSF0000912089,State of Good Repair - System Replacements - Electrical Systems,2020,370000
78Q,Queens,K420,FRANKLIN K. LANE HS,DSF0000912181,State of Good Repair - System Replacements - Toilets - Students,2020,1200000
78Q,Queens,K420,FRANKLIN K. LANE HS,DSF0000912220,State of Good Repair - System Replacements - Electrical Systems,2020,1096002
78Q,Queens,Q400,AUGUST MARTIN HS,DSF0000912182,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,742500
78Q,Queens,Q485,GROVER CLEVELAND HS,DSF0000912215,State of Good Repair - System Replacements - Electrical Systems,2020,1045772
78Q,Queens,Q505,HILLCREST HS,DSF0000912216,State of Good Repair - System Replacements - Electrical Systems,2020,870414
78Q,Queens,Q600,QUEENS VOC HS,DSF0000904581,State of Good Repair - Building Upgrade - Flood Elimination,2021,1189619
78Q,Queens,Q600,QUEENS VOC HS,DSF0000904583,State of Good Repair - System Replacements - Parapets,2021,6597650
78R,Staten Island,R435,NEW DORP HS (NEW),DSF0000905875,State of Good Repair - System Replacements - Exterior Masonry,2021,10193684
78R,Staten Island,R435,NEW DORP HS (NEW),DSF0000905874,State of Good Repair - System Replacements - Parapets,2021,3295802
78R,Staten Island,R460,SUSAN E. WAGNER HS,DSF0000911932,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,500000
78X,Bronx,X430,WALTON HS,DSF0000911931,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,2020,750000
78X,Bronx,X430,WALTON HS,DSF0000909505,State of Good Repair - System Replacements - Roofs,2020,6883178
78X,Bronx,X430,WALTON HS,DSF0000909506,State of Good Repair - System Replacements - Parapets,2020,10889827
78X,Bronx,X430,WALTON HS,DSF0000909503,State of Good Repair - Building Upgrade - Flood Elimination,2020,3135348
78X,Bronx,X430,WALTON HS,DSF0000909507,State of Good Repair - System Replacements - Exterior Masonry,2020,10679999
78X,Bronx,X435,THEODORE ROOSEVELT EDUCATIONAL CAMPUS,DSF0000912147,State of Good Repair - System Replacements - Electrical Systems,2020,630000
78X,Bronx,X482,BRONX HS FOR THE VISUAL ARTS GYM ANNEX,DSF0000889569,System Expansion - New Construction-Common-Facilities-Additions - Gymnasiums,2020,18151065
78X,Bronx,X839,BRONX HS FOR THE VISUAL ARTS,DSF0000909890,State of Good Repair - System Replacements - Exterior Masonry,2022,1717954
78X,Bronx,X839,BRONX HS FOR THE VISUAL ARTS,DSF0000909889,State of Good Repair - System Replacements - Parapets,2022,1307012
78X,Bronx,X839,BRONX HS FOR THE VISUAL ARTS,DSF0000909888,State of Good Repair - System Replacements - Roofs,2022,2455468
78X,Bronx,X963,CROTONA ACADEMY TRANSPORTABLE,DSF0000821659,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground Redevelopment,2020,4125209
